	q0	q1	q2	densidad	velocidad	presion	t	x
617	1.00089159	1.00089159	3.0004458	1.00089159	1.0	1.0000000019999997	0.0	2.34
618	1.0009909	1.0009909	3.00049545	1.0009909	1.0	0.9999999999999998	0.0	2.36
619	1.00110038	1.00110038	3.00055019	1.00110038	1.0	0.9999999999999998	0.0	2.38
620	1.00122098	1.00122098	3.00061049	1.00122098	1.0	0.9999999999999998	0.0	2.4
621	1.00135372	1.00135372	3.00067686	1.00135372	1.0	0.9999999999999998	0.0	2.42
622	1.00149969	1.00149969	3.00074984	1.00149969	1.0	0.9999999979999998	0.0	2.44
623	1.00166006	1.00166006	3.00083003	1.00166006	1.0	0.9999999999999998	0.0	2.46
624	1.00183612	1.00183612	3.00091806	1.00183612	1.0	0.9999999999999998	0.0	2.48
625	1.00202923	1.00202923	3.00101461	1.00202923	1.0	0.9999999979999998	0.0	2.5
626	1.00224085	1.00224085	3.00112043	1.00224085	1.0	1.0000000019999997	0.0	2.52
627	1.00247256	1.00247256	3.00123628	1.00247256	1.0	0.9999999999999998	0.0	2.54
628	1.00272605	1.00272605	3.00136303	1.00272605	1.0	1.0000000019999997	0.0	2.56
629	1.00300313	1.00300313	3.00150157	1.00300313	1.0	1.0000000019999997	0.0	2.58
630	1.00330572	1.00330572	3.00165286	1.00330572	1.0	0.9999999999999998	0.0	2.6
631	1.00363589	1.00363589	3.00181795	1.00363589	1.0	1.0000000019999997	0.0	2.62
632	1.00399585	1.00399585	3.00199792	1.00399585	1.0	0.9999999979999998	0.0	2.64
633	1.00438792	1.00438792	3.00219396	1.00438792	1.0	0.9999999999999998	0.0	2.66
634	1.00481461	1.00481461	3.00240731	1.00481461	1.0	1.000000002	0.0	2.68
635	1.00527857	1.00527857	3.00263929	1.00527857	1.0	1.0000000019999997	0.0	2.7
636	1.00578261	1.00578261	3.00289131	1.00578261	1.0	1.0000000019999997	0.0	2.72
637	1.00632972	1.00632972	3.00316486	1.00632972	1.0	0.9999999999999998	0.0	2.74
638	1.00692304	1.00692304	3.00346152	1.00692304	1.0	0.9999999999999998	0.0	2.7600000000000002
639	1.00756593	1.00756593	3.00378297	1.00756593	1.0	1.0000000019999997	0.0	2.7800000000000002
640	1.00826191	1.00826191	3.00413095	1.00826191	1.0	0.9999999979999998	0.0	2.8000000000000003
641	1.00901469	1.00901469	3.00450734	1.00901469	1.0	0.9999999979999998	0.0	2.82
